"","FIPS","BWD","AWD","HWD","NWWD","BWI","AWI","HWI","NWWI","H"
"932","30009",0.50349337759908,0.475533086395035,0.449273127643473,0.176649742348162,0.92426934602963,0.932215681847019,0.918343330419002,0.932508983353814,0.0684506667466476
"933","30013",0.474056109912327,0.503917656862786,0.35022670811884,0.25753936290942,0.778747806159761,0.825355144438577,0.794487913560196,0.808885236420737,0.0881558312592435
"934","30029",0.647992753876995,0.384781981865539,0.362244169386157,0.2015486069048,0.92728863234752,0.920969335404117,0.90366115923373,0.913031429098289,0.0747288434252937
"935","30031",0.497173302468127,0.357301742630493,0.227999152505755,0.154007971326333,0.884754551601737,0.900278399714239,0.906278098662641,0.904058945773344,0.0483803208288546
"936","30043",0.359475940348971,0.630230030791523,0.314032264290444,0.130912826351334,0.924690911547925,0.951304753028891,0.915231124128222,0.921819780583161,0.0311698696165964
"937","30049",0.605088534857069,0.365323237546435,0.303561597710703,0.109873186340109,0.900857720169575,0.917034230854027,0.903902600431392,0.907878504001134,0.0455329743013537
"938","30063",0.461541089325635,0.31234878294272,0.250827574064637,0.148448547632507,0.887826842222633,0.88701346809219,0.884423707058025,0.882095564098107,0.0526383428051922
"939","30093",0.608462841477104,0.608536132969347,0.179522193270683,0.182501329997605,0.883497114725762,0.920226247331241,0.899768498651772,0.884688368748911,0.0861400394872067
"940","30095",0.540945576682227,0.470635745189571,0.29967986283663,0.240813270811825,0.961878546085097,0.897481919749017,0.909428830709334,0.912846633132991,0.035036622321428
"941","30111",0.525361215367323,0.517080107536939,0.271280872607947,0.222432926647787,0.829864058477556,0.858548515342015,0.833014322858988,0.830581793750939,0.0671097077099106
"942","31001",0.409973860115147,0.468791240497319,0.345388294035443,0.236195149965667,0.850646906357883,0.894067812305173,0.804079623725877,0.819400519604548,0.0862889186400792
"943","31007",0,0,0,0,0,0.903047091412742,0.903047091412742,0.903047091412742,0
"944","31019",0.511880575405166,0.51906245339945,0.319012445929302,0.260580402092233,0.851496638353426,0.836250626940977,0.834480006092917,0.836110469870114,0.0826655404196532
"945","31025",0.33240382904523,0.497931102265468,0.137245189097311,0.154562179209121,0.932557044854306,0.935004828319125,0.929484955809011,0.929087226799775,0.0251917562175471
"946","31043",0.489149560117302,0.22907995618839,0.320063216854729,0.301217261724266,0.358853310004834,0.457716401374129,0.406408093563277,0.416699281542093,0.0917775238421808
"947","31047",0.720603099792523,0.636413135757291,0.624091471986519,0.624580878224398,0.304549453755087,0.416511905405507,0.354327437300441,0.355542311737961,0.258876963252615
"948","31051",0.363603154836032,0.392694063926941,0.398361424556133,0.360406706445355,0.782462683079055,0.776774611998526,0.775666487463913,0.783087676460822,0.0931436705236616
"949","31053",0.300646096115708,0.408766090280678,0.331760291144498,0.276968603262344,0.826453570022115,0.851488250365646,0.76637061474113,0.7757262062281,0.0884340326879176
"950","31055",0.579334752970189,0.4195767756285,0.526003720612421,0.44531314944056,0.470905960153869,0.638278981250198,0.49439514795195,0.517158347808488,0.228976490499277
"951","31067",0.427893901284754,0.346751880405491,0.188598947350718,0.124440467075156,0.935795056558617,0.941273153366529,0.940395187877047,0.940804112470961,0.0318032647230543
"952","31073",0,0,0,0,0.925981122702434,0.925981122702434,0.925981122702434,0.925981122702434,0
